id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
99,Hello My Name Is Päivi,Sea Buckthorn Double IPA.,05/2014,"Brewed with sea buckthorn, a tart and bitter berry found on the Finnish coastline. Bright, vibrant aromas of tangerine, mandarin and peach, with zesty hits of lime, envelop the nutty, caramel malt backbone. The intense fruitiness gives a jammy quality to the nose. On the palate is a warm biscuity sweetness, with tropical fruits in a supporting role to a huge grapefruit and orange bitterness.",https://images.punkapi.com/v2/99.png,8.3,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt Challenger, Bravo, Comet, EXP 366, Centennial, Simcoe, Citra, Comet, Centennial, Simcoe, Citra Wyeast 1272 - American Ale II™","Korvapuusti (cinnamon and cardamom buns), Spicy orange chicken marmalade served with potato bread, Sea buckthorn cheesecake",Sam Mason,"Extra Pale, Caramalt","Challenger, Bravo, Comet, EXP 366, Centennial, Simcoe, Citra, Comet, Centennial, Simcoe, Citra",Wyeast 1272 - American Ale II™
100,Elvis Juice V2.0 - Prototype Challenge,Citrus Infused IPA.,12/2015,"Punchy resinous hoppy aromas blast from the glass; light floral and citrus notes riff against huge piney character. Showcasing Citra, Simcoe and Amarillo at their absolute best. A huge dose of grapefruit peel brings swirls of fresh pithy zest, accentuating the dry hops and building on the dry, biscuit malt base.",https://images.punkapi.com/v2/100.png,6.5,60.0,25.0,12.5,4.4,"Extra Pale, Caramalt Magnum, Simcoe, Amarillo, Mosaic, Citra, Amarillo, Simcoe, Citra, Amarillo, Simcoe Wyeast 1056 - American Ale™","Mexican ceviche, Coriander and lime green thai curry, Grapefruit souffle",Sam Mason,"Extra Pale, Caramalt","Magnum, Simcoe, Amarillo, Mosaic, Citra, Amarillo, Simcoe, Citra, Amarillo, Simcoe",Wyeast 1056 - American Ale™
101,Riptide,Twisted Merciless Stout.,04/2007,"The original BrewDog, Bracken decided to make a beer that best reflected himself; this is the beer equivalent of the big, cute chocolate monster. Soft, smooth, dark, chocolatey and a force to be reckoned with. This gentle giant will never bite, but you'll still want to be on your best behaviour!",https://images.punkapi.com/v2/101.png,8.0,45.0,240.0,120.0,4.4,"Maris Otter Extra Pale, Dark Crystal 350-400, Carafa Special Malt Type 3, Caramalt, Chocolate, Wheat, Flaked Oats Columbus, Galena, Galena, Cascade, Columbus Wyeast 1272 - American Ale II™","Seared scallops, Pan seared venison with fruit salad side, Caramelised apple pie with vanilla ice cream",Sam Mason,"Maris Otter Extra Pale, Dark Crystal 350-400, Carafa Special Malt Type 3, Caramalt, Chocolate, Wheat, Flaked Oats","Columbus, Galena, Galena, Cascade, Columbus",Wyeast 1272 - American Ale II™
102,Peach Therapy,Tart Belgian Tripple.,06/2015,"9% abv sour tripel, infused with peach and apricot in collaboration with some of our favourite beer writers Adrian Tierney-Jones, Matt Curtis and Jonny and Brad from The Craft Beer Channel.",https://images.punkapi.com/v2/keg.png,9.0,30.0,12.0,6.0,3.6,"Extra Pale Mandarina Bavaria, Strisselspalt, Mandarina Bavaria, Strisselspalt Wyeast 3522 - Belgian Ardennes™","Summer salad with pickled veg, Sticky barbecue spare ribs, Blueberry and almond tart",Sam Mason,Extra Pale,"Mandarina Bavaria, Strisselspalt, Mandarina Bavaria, Strisselspalt",Wyeast 3522 - Belgian Ardennes™
103,Clown King,US Style Barley Wine.,12/2013,"A heavy hitting combination of rich malt flavours and relentless, bitter hops. Aromas of caramel and toasted marshmallow, with raisin and dried fruit, alongside a spicy undercurrent of resin. With toasty malt and sweet dark fruit flavours, and a smooth, chewy mouthfeel, you’ll be lulled into a false sense of security, before the intense pine-sap resin draws out a huge bitter finish.",https://images.punkapi.com/v2/103.png,12.0,85.0,24.0,12.0,4.4,"Extra Pale, Caramalt, Crystal 150, Brown, Munich Magnum, Simcoe, Mosaic, Ahtanum, Ahtanum, Mosaic, Mosaic, Ahtanum, Simcoe Wyeast 1272 - American Ale II™","Aged Stilton, Flaky pastry beef pie and sweet potato mash, Chocolate pecan praline cake",Ali Skinner,"Extra Pale, Caramalt, Crystal 150, Brown, Munich","Magnum, Simcoe, Mosaic, Ahtanum, Ahtanum, Mosaic, Mosaic, Ahtanum, Simcoe",Wyeast 1272 - American Ale II™
104,India Pale Weizen (w/ Weihenstephan),BrewDog Versus Weihenstephan.,09/2014," BrewDog vs. Weihenstephan India Pale Weizen kicked off a new direction for our collaborations. We took a simple concept (by our standards) and teamed up with the oldest brewery in the world to brew a mash-up beer using the signature styles of both breweries. India Pale Weizen has classic base hefeweizen aromas and flavours of banana, clove and bubblegum, with a distinctive haziness. Layered on top of this is a tapestry of US citrus hop character. India Pale Weizen is a perfect symbiosis of traditional and modern brewing.",https://images.punkapi.com/v2/104.png,6.2,50.0,35.0,17.5,4.0,"Extra Pale, Wheat, Dark Crystal Cascade, Cascade, Saaz, Hersbrucker Wyeast 3638 - Bavarian Wheat™","Korean barbecue nachos, Beef pho soup, Waffles with caramelised apple and powdered sugar",Sam Mason,"Extra Pale, Wheat, Dark Crystal","Cascade, Cascade, Saaz, Hersbrucker",Wyeast 3638 - Bavarian Wheat™
105,Hello My Name Is Beastie,Double IPA Brewed with Brambles.,08/2012,"A Scottish take on Hello My Name is Ingrid with added brambles. Caramel malt provides sweetness to balance the tart berry character, which loses sweetness during fermentation.",https://images.punkapi.com/v2/105.png,8.2,42.0,90.0,45.0,4.4,"Maris Otter Extra Pale, Caramalt Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross/ First Gold, Columbus, Centennial, Nelson Sauvin Wyeast 1272 - American Ale II™","Honey glazed ham with pineapple, Spicy wings with blue cheese sauce, Blackberry pie with vanilla ice cream",Sam Mason,"Maris Otter Extra Pale, Caramalt","Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross/ First Gold, Columbus, Centennial, Nelson Sauvin",Wyeast 1272 - American Ale II™
106,Punk IPA 2010 - Current,Post Modern Classic. Spiky. Tropical. Hoppy.,10/2010,"Punk IPA. Amplified. In 2010 we finally got our paws on the equipment we needed to dry hop our beers. We focused all our energy on dry hopping, amping up the aroma and flavour of our flagship beer to create a relentless explosion of tropical fruits, and adding a hint of Caramalt to balance out the insane amount of hops.",https://images.punkapi.com/v2/106.png,5.6,40.0,15.0,7.6,4.4,"Extra Pale, Caramalt Chinook, Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin, Chinook, Ahtanum, Simcoe, Nelson Sauvin, Cascade, Amarillo Wyeast 1056 - American Ale™","Spicy carne asada with a pico de gallo sauce, Shredded chicken tacos with a mango chilli lime salsa, Cheesecake with a passion fruit swirl sauce",Sam Mason,"Extra Pale, Caramalt","Chinook, Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin, Chinook, Ahtanum, Simcoe, Nelson Sauvin, Cascade, Amarillo",Wyeast 1056 - American Ale™
107,HBC 366 - IPA Is Dead,Single Hop India Pale Ale.,02/2014,"A new, at-the-time un-named American hop now known as Equinox. Piney, resinous with spicy fruit notes and biting grapefruit. Stewed orange and pineapple with a resinous edge.",https://images.punkapi.com/v2/107.png,7.2,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal HBC 366, HBC 366, HBC 366, HBC 366 Wyeast 1056 - American Ale™","Spicy black bean and chicken tortilla soup, Spicy lamb tikka masala, Fruity bread pudding",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","HBC 366, HBC 366, HBC 366, HBC 366",Wyeast 1056 - American Ale™
108,American Ale,Unleash the Yeast Series.,09/2013,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. American Ale used a clean fermenting strain which provides some faint fruity notes.",https://images.punkapi.com/v2/108.png,6.3,55.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo Wyeast 1272 - American Ale II™","Fried brie bites, American cheese burger, Poached apple tart",Ali Skinner,"Extra Pale, Caramalt, Dark Crystal, Munich","Centennial, Amarillo, Centennial, Amarillo, Centennial, Amarillo",Wyeast 1272 - American Ale II™
109,Cocoa Psycho,Russian Imperial Stout. Rich. Decadent. Mocha.,11/2012,"Vanilla pods and toasted oak chips add a rounded character to this massive Russian Imperial Stout, brewed with a hefty malt bill, cacao nibs and coffee beans. Dark malts combine with Cascade to add a punchy bitterness, strong enough to offset the big chocolate sweetness.",https://images.punkapi.com/v2/109.png,10.0,85.0,30.0,15.25,4.4,"Extra Pale, Wheat, Dark Crystal, Black Malt, Roasted Barley, Weyermann Smoked Cascade, Cascade Wyeast 1272 - American Ale II™","Smokey sweet pulled brisket, Espresso crusted venison with a dark cherry jus, Affogato with vanilla ice cream",Sam Mason,"Extra Pale, Wheat, Dark Crystal, Black Malt, Roasted Barley, Weyermann Smoked","Cascade, Cascade",Wyeast 1272 - American Ale II™
110,Truffle and Chocolate Stout - B-Sides,Gastronomic Session Stout.,03/2015,"Pilot Brew - Truffle & Chocolate Stout. Deep, earthy roast notes make this a gastronome's dream.",https://images.punkapi.com/v2/keg.png,5.6,30.0,54.0,27.0,4.4,"Extra Pale, Special W, Roasted Barley, Dark Crystal Sorachi Ace, Sorachi Ace, Sorachi Ace, Sorachi Ace Wyeast 1056 - American Ale™","Mushroom pithivier, Roast pheasant with savoy cabbage, Dark chocolate ganache macaroons",Iain Mullan,"Extra Pale, Special W, Roasted Barley, Dark Crystal","Sorachi Ace, Sorachi Ace, Sorachi Ace, Sorachi Ace",Wyeast 1056 - American Ale™
111,Vagabond Pilsner,Hoppy Pilsner.,02/2013,Take the thirst-quenching crispness of a German Pilsner and combine it with lemon and honey to produce a rewarding modern twist on a beer classic.,https://images.punkapi.com/v2/111.png,4.5,55.0,25.0,12.5,4.4,"Extra Pale, Munich, Crystal 150, Acidulated Malt Cascade, Amarillo, Centennial, Chinook, Cascade, Centennial, Chinook, Amarillo Wyeast 2007 - Pilsen Lager™","Jamaican jerk chicken, Hot dog with grilled onions and spicy ketchup, Shortbread and raspberry jam thumbprint cookie",Sam Mason,"Extra Pale, Munich, Crystal 150, Acidulated Malt","Cascade, Amarillo, Centennial, Chinook, Cascade, Centennial, Chinook, Amarillo",Wyeast 2007 - Pilsen Lager™
112,Vote Sepp,Witbier With Hibiscus.,05/2014,"Vote Sepp is a single hop wheat beer brewed to a session strength, with hibiscus flower, which gives it an impressively vibrant shade of pink. What Vote Sepp lacks in complexity, it more than makes up for in a perfect balance of tartness, bitterness and body.",https://images.punkapi.com/v2/112.png,3.6,20.0,8.0,4.0,4.1,"Extra Pale, Torrified Wheat Motueka, Motueka, Motueka Wyeast 3944 - Belgian Witbier™","Crab roll sushi with strawberries, Artichoke hearts and chicken melt, Caprese salad (mozzarella, tomato, basil, black pepper and sea salt)",Sam Mason,"Extra Pale, Torrified Wheat","Motueka, Motueka, Motueka",Wyeast 3944 - Belgian Witbier™
113,Hello My Name Is Ingrid,Sophisticated Bergmanesque Beer.,12/2010,"A Double IPA with cloudberries added to the conditioning tank. One thing is certain – this Swedish inspired Double IPA is not as innocent as she first appears. A seductive body of rich malts and a buxom amount of Citra, Nelson Sauvin and Bramling Cross hops have been added to fresh Scandinavian cloudberries to deliver this beer’s tart finish.",https://images.punkapi.com/v2/113.png,8.2,42.0,70.0,35.0,4.4,"Maris Otter Extra Pale, Caramalt Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross/ First Gold, NZ Nelson Sauvin, Bramling Cross, Simcoe Wyeast 1272 - American Ale II™","Crayfish with a chilli, coriander infused butter dip, Smörgås with cream topping, Cardamom cake with powder sugar and cloudberry jam",Sam Mason,"Maris Otter Extra Pale, Caramalt","Columbus, Centennial, Columbus, Centennial, Nelson Sauvin, Bramling Cross/ First Gold, NZ Nelson Sauvin, Bramling Cross, Simcoe",Wyeast 1272 - American Ale II™
114,U-Boat (w/ Victory Brewing),Smoked Porter Collab With Victory Brewing.,07/2014,"On the palate is a big dark malt sweetness, balanced by the blend of spicy Mittelfruh and citrussy Galena. Cocoa powder, rich dark chocolate, and ripe berries interplay with a toasty burnt sugar bitterness. The mouthfeel is thick and chewy with a treacly quality that doesn’t cloy, as it plays off against the hops and roast malt bitterness.",https://images.punkapi.com/v2/114.png,8.4,50.0,200.0,100.0,4.4,"Extra Pale, Crystal 150, Carafa Special Malt Type 1, Chocolate, Munich, Smoked Warminster Hallertauer Mittelfrüh, Hallertauer Mittelfrüh, Galena Wyeast 2007 - Pilsen Lager™","Smoked bratwurst and mustard, Chargrilled steak, Grilled pineapple",Sam Mason,"Extra Pale, Crystal 150, Carafa Special Malt Type 1, Chocolate, Munich, Smoked Warminster","Hallertauer Mittelfrüh, Hallertauer Mittelfrüh, Galena",Wyeast 2007 - Pilsen Lager™
115,Melon And Cucumber IPA - B-Sides,Fresh Melon IPA.,03/2015,A Pilot Brew with 200Kg of fresh melon and 5Kg fresh cucumber added after fermentation to produce the perfect summer refreshment.,https://images.punkapi.com/v2/keg.png,6.0,50.0,8.0,4.0,5.2,"Extra Pale, Caramalt Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin Wyeast 1056 - American Ale™","Beef carpaccio, Chilled beetroot soup, Korean watermelon salad",Sam Mason,"Extra Pale, Caramalt","Ahtanum, Chinook, Ahtanum, Chinook, Ahtanum, Simcoe, Nelson Sauvin",Wyeast 1056 - American Ale™
116,Morag's Mojito - B-Sides,Cocktail Meets Beer.,08/2015,"A cunning cocktail blend of grapefruit hops, ginger spice and refreshing mint.",https://images.punkapi.com/v2/keg.png,6.7,40.0,15.0,7.5,5.2,"Extra Pale, Ginger Root Citra, Citra, Citra Wyeast 1056 - American Ale™","Tamale, Salt cod croquettes, Mint cheesecake",Matt Ball,"Extra Pale, Ginger Root","Citra, Citra, Citra",Wyeast 1056 - American Ale™
117,Hop Rocker,Hoppy Aggressive Lager,04/2007,"The first of our foray into lager beer, Hop Rocker is a high impact, hoppy behemoth made with 100% malt. Since 2007 we have been obsessive about quality, using only the best ingredients to ensure the flavour and craftsmanship of the beer in your glass. Hop Rocker is testament to that. The malt base gives this beer a sweet, balanced complexity while the combination of New Zealand and German hops merges new world tropical juiciness with old world peppery spice.",https://images.punkapi.com/v2/117.png,5.5,40.0,25.0,12.0,4.2,"Maris Otter Extra Pale, Caramalt, Munich Cascade, Saaz, Cascade, Motueka, Chinook Saflager S189","Cajun spiced chicken wings, Mild cheddar, Lemon tart",Sam Mason,"Maris Otter Extra Pale, Caramalt, Munich","Cascade, Saaz, Cascade, Motueka, Chinook",Saflager S189
118,Bounty Hunter - Shareholder Brew,Beatnik Milk Stout.,02/2015,"Brewed with our Equity Punks this rich, smooth stout is brewed with a blend of six malts, resulting in a welcoming, resonant black beer. From start to finish it carries an intense roastiness reminiscent of dark chocolate intertwined with a delicate hint of coconut and caramel.",https://images.punkapi.com/v2/118.png,6.5,35.0,250.0,125.0,4.2,"Pale Ale, Amber, Flaked Oats, Chocolate, Roasted Barley, Carafa Special Malt Type 3 Galena Wyeast 1056 - American Ale™","Coconut beef red curry, Butternut squash soup with toasted almonds, Chocolate coated macaroons",Sam Mason,"Pale Ale, Amber, Flaked Oats, Chocolate, Roasted Barley, Carafa Special Malt Type 3",Galena,Wyeast 1056 - American Ale™
119,Zeitgeist,Organic Black Lager.,12/2008,"Zeitgeist is an idiosyncratic alternative black lager. Its inspiration is found more than 200 years ago. Zeitgeist takes an age old classic, a forgotten masterpiece, and gives it relevance and an avant-garde edge.",https://images.punkapi.com/v2/119.png,4.9,32.0,120.0,60.0,4.3,"Organic Lager, Organic Caramalt, Organic Munich, Organic Chocolate Cascade, Cascade Saflager S189","Spicy cajun fried chicken, Pork dumplings with rich soy sauce, Cinnamon carrot cake with creamy cheese frosting",Sam Mason,"Organic Lager, Organic Caramalt, Organic Munich, Organic Chocolate","Cascade, Cascade",Saflager S189
120,AB:10,Imperial Brown Ale Aged In Spanish Red Wine Barrels.,10/2011,"A decadent, robust and encapsulating Imperial Ale. A rollercoaster of devilish berries, smooth vanilla, toasted marshmallow and wine gums; caramel malt balanced with moderate bitterness and a roasty edge.",https://images.punkapi.com/v2/120.png,11.5,80.0,115.0,57.5,4.4,"Extra Pale - Spring Blend, Caramalt, Dark Crystal, Carafa Special Malt Type 1, Chocolate, Brown, Flaked Oats Galena, Willamette, First Gold Wyeast 1272 - American Ale II™","Calves' liver with onion relish, Coq au vin, S'mores",Sam Mason,"Extra Pale - Spring Blend, Caramalt, Dark Crystal, Carafa Special Malt Type 1, Chocolate, Brown, Flaked Oats","Galena, Willamette, First Gold",Wyeast 1272 - American Ale II™
